,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,TOR,Andrea Bargnani,bargnan01,,10,550,15806,7873,2541,653,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-1.6,1.5
2,2,CHI,LaMarcus Aldridge,aldrila01,Texas,14,1003,34518,19599,8360,1985,0.491,0.312,0.811,34.4,19.5,8.3,2,111.4,0.155,1.7,32.4
3,3,CHA,Adam Morrison,morriad01,Gonzaga,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5,-2.4
4,4,POR,Tyrus Thomas,thomaty01,LSU,8,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,-1.2,1.7
5,5,ATL,Shelden Williams,willish02,Duke,6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3,-1.5
6,6,MIN,Brandon Roy,roybr01,Washington,6,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3
7,7,BOS,Randy Foye,foyera01,Villanova,11,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
8,8,HOU,Rudy Gay,gayru01,UConn,14,939,31175,16062,5535,2066,0.456,0.345,0.798,33.2,17.1,5.9,2.2,56.4,0.087,0.7,21.6
9,9,GSW,Patrick O'Bryant,obryapa01,Bradley,4,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
10,10,SEA,Mouhamed Sene,senesa01,,3,47,260,103,75,1,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,-5.1,-0.2
11,11,ORL,J.J. Redick,redicjj01,Duke,14,890,23085,11589,1828,1800,0.448,0.416,0.891,25.9,13,2.1,2,62.6,0.13,0.8,16.1
12,12,NOK,Hilton Armstrong,armsthi01,UConn,6,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-4.1,-1.8
13,13,PHI,Thabo Sefolosha,sefolth01,,14,869,19062,4994,3252,1196,0.449,0.349,0.732,21.9,5.7,3.7,1.4,39.3,0.099,0.6,12.4
14,14,UTA,Ronnie Brewer,brewero02,Arkansas,8,502,11539,3940,1427,828,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,1.6,10.6
15,15,NOK,Cedric Simmons,simmoce01,NC State,3,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5,-0.5
16,16,CHI,Rodney Carney,carnero01,Memphis,5,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-1.6,0.5
17,17,IND,Shawne Williams,willish03,Memphis,7,314,5368,1769,945,220,0.403,0.339,0.755,17.1,5.6,3,0.7,6.7,0.06,-2.2,-0.3
18,18,WAS,Oleksiy Pecherov,pecheol01,,3,111,1044,438,266,20,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-4.8,-0.7
19,19,SAC,Quincy Douby,doubyqu01,Rutgers University,3,143,1535,588,152,93,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0,0,-3.5,-0.6
20,20,NYK,Renaldo Balkman,balkmre01,South Carolina,6,221,3064,894,769,132,0.51,0.172,0.542,13.9,4,3.5,0.6,7.2,0.113,0.1,1.6
21,21,PHO,Rajon Rondo,rondora01,Kentucky,14,873,27103,8909,4131,7215,0.458,0.316,0.606,31,10.2,4.7,8.3,59.9,0.106,1.3,22.9
22,22,NJN,Marcus Williams,willima03,UConn,4,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0,-0.001,-3.3,-1
23,23,NJN,Josh Boone,boonejo01,UConn,4,256,4482,1340,1258,125,0.544,,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-2,0
24,24,MEM,Kyle Lowry,lowryky01,Villanova,14,908,28682,13381,3905,5623,0.423,0.366,0.809,31.6,14.7,4.3,6.2,93.5,0.157,3.2,38
25,25,CLE,Shannon Brown,brownsh01,Michigan State,9,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,-1.5,1
26,26,LAL,Jordan Farmar,farmajo01,UCLA,10,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-0.5,3.7
27,27,PHO,Sergio Rodríguez,rodrise01,,5,353,5281,1747,525,1183,0.409,0.337,0.739,15,4.9,1.5,3.4,4.3,0.039,-2,0.1
28,28,DAL,Maurice Ager,agerma01,Michigan State,4,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9
29,29,NYK,Mardy Collins,collima01,Temple,4,189,2771,742,336,327,0.38,0.299,0.599,14.7,3.9,1.8,1.7,-1.6,-0.027,-4.4,-1.7
30,30,POR,Joel Freeland,freeljo01,,3,151,1821,477,518,65,0.459,0,0.728,12.1,3.2,3.4,0.4,3.2,0.084,-3.3,-0.6
31,31,POR,James White,whiteja02,Cincinnati,3,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.2,-0.2
32,32,HOU,Steve Novak,novakst01,Marquette,11,467,5657,2177,591,132,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,0.8,4
33,33,ATL,Solomon Jones,jonesso01,South Florida,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-4,-1.6
34,34,LAC,Paul Davis,davispa01,Michigan State,4,82,702,217,158,32,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.2,-0.4
35,35,TOR,P.J. Tucker,tuckepj01,Texas,9,646,18928,4760,3764,925,0.423,0.362,0.749,29.3,7.4,5.8,1.4,34,0.086,-0.6,6.7
36,36,MIN,Craig Smith,smithcr01,Boston College,6,403,6826,3080,1567,322,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16,0.113,-1.2,1.4
37,37,MIN,Bobby Jones,jonesbo02,Washington,2,91,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-4.1,-0.5
38,38,GSW,Kosta Perovi?,perovko01,,1,7,38,10,13,1,0.3,,0.667,5.4,1.4,1.9,0.1,0,0.06,-5.9,0
39,39,MIL,David Noel,noelda01,UNC,1,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.1,-0.2
40,40,SEA,Denham Brown,,UConn,,,,,,,,,,,,,,,,,
41,41,ORL,James Augustine,augusja01,Illinois,2,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.7,0
42,42,CLE,Daniel Gibson,gibsoda01,Texas,7,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.4
43,43,NOK,Marcus Vinicius,vincima01,,2,26,172,50,19,7,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3,0
44,44,ORL,Lior Eliyahu,eliyali01,,,,,,,,,,,,,,,,,,
45,45,IND,Alexander Johnson,johnsal01,Florida State,2,102,1302,439,275,30,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.6,-0.9
46,46,UTA,Dee Brown,brownde03,Illinois,2,68,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-3,-0.2
47,47,UTA,Paul Millsap,millspa01,Louisiana Tech,14,989,28796,13857,7264,2238,0.491,0.343,0.737,29.1,14,7.3,2.3,91.6,0.153,2,29.2
48,48,WAS,Vladimir Veremeenko,veremvl01,,,,,,,,,,,,,,,,,,
49,49,DEN,Leon Powe,powele01,California,5,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-1.6,0.3
50,50,CHA,Ryan Hollins,holliry01,UCLA,10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-4.1,-3.2
51,51,LAL,Cheikh Samb,sambch01,,2,22,114,22,31,1,0.25,0,0.444,5.2,1,1.4,0,-0.1,-0.056,-9.1,-0.2
52,52,LAC,Guillermo Díaz,diazgu01,Miami (FL),1,6,18,5,2,1,0.25,0,0.6,3,0.8,0.3,0.2,0,0.033,-2.9,0
53,53,SEA,Yotam Halperin,halpeyo01,,,,,,,,,,,,,,,,,,
54,54,NJN,Hassan Adams,adamsha01,Arizona,2,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-2.3,0
55,55,CLE,Ejike Ugboaja,ugboaej01,,,,,,,,,,,,,,,,,,
56,56,TOR,Edin Bav?i?,bavcied01,,,,,,,,,,,,,,,,,,
57,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,,
58,58,DAL,J.R. Pinnock,,George Washington,,,,,,,,,,,,,,,,,
59,59,SAS,Damir Markota,markoda01,,1,30,170,51,31,6,0.365,0.375,0.636,5.7,1.7,1,0.2,-0.2,-0.07,-8.5,-0.3
60,60,DET,Will Blalock,blalowi01,Iowa State,1,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.8,-0.2
