Rk,Player,Pos,Team,Salary 2018-19
1,Stephen Curry, PG,Golden State Warriors,"$37,457,154 "
2,Chris Paul, PG,Houston Rockets,"$35,654,150 "
3,LeBron James, SF,Los Angeles Lakers,"$35,654,150 "
4,Russell Westbrook, PG,Oklahoma City Thunder,"$35,654,150 "
5,Blake Griffin, PF,Detroit Pistons,"$32,088,932 "
6,Gordon Hayward, SF,Boston Celtics,"$31,214,295 "
7,Kyle Lowry, PG,Toronto Raptors,"$31,200,000 "
8,Paul George, SG,Oklahoma City Thunder,"$30,560,700 "
9,Mike Conley, PG,Memphis Grizzlies,"$30,521,115 "
10,James Harden, SG,Houston Rockets,"$30,421,854 "
11,Kevin Durant, SF,Golden State Warriors,"$30,000,000 "
12,Paul Millsap, PF,Denver Nuggets,"$29,230,769 "
13,Al Horford, PF,Boston Celtics,"$28,928,709 "
14,Damian Lillard, PG,Portland Trail Blazers,"$27,977,689 "
15,DeMar DeRozan, SF,San Antonio Spurs,"$27,739,975 "
16,Otto Porter Jr., SF,Washington Wizards,"$26,011,913 "
17,Jrue Holiday, SG,New Orleans Pelicans,"$25,976,111 "
18,CJ McCollum, SG,Portland Trail Blazers,"$25,759,766 "
19,Joel Embiid, C,Philadelphia 76ers,"$25,467,250 "
20,Andrew Wiggins, SF,Minnesota Timberwolves,"$25,467,250 "
21,Bradley Beal, SG,Washington Wizards,"$25,434,263 "
22,Anthony Davis, PF,New Orleans Pelicans,"$25,434,263 "
23,Andre Drummond, C,Detroit Pistons,"$25,434,263 "
24,Hassan Whiteside, C,Miami Heat,"$25,434,262 "
25,Nikola Jokic, C,Denver Nuggets,"$24,605,181 "
26,Steven Adams, C,Oklahoma City Thunder,"$24,157,303 "
27,Giannis Antetokounmpo, PF,Milwaukee Bucks,"$24,157,303 "
28,Marc Gasol, C,Memphis Grizzlies,"$24,119,025 "
29,Kevin Love, PF,Cleveland Cavaliers,"$24,119,025 "
30,Harrison Barnes, SF,Sacramento Kings,"$24,107,258 "
31,Chandler Parsons, SF,Memphis Grizzlies,"$24,107,258 "
32,Nicolas Batum, SG,Charlotte Hornets,"$24,000,000 "
33,Rudy Gobert, C,Utah Jazz,"$23,241,573 "
34,Kawhi Leonard, SF,Toronto Raptors,"$23,114,067 "
35,DeAndre Jordan, C,New York Knicks,"$22,897,200 "
36,LaMarcus Aldridge, PF,San Antonio Spurs,"$22,347,015 "
37,Serge Ibaka, C,Toronto Raptors,"$21,666,667 "
38,Aaron Gordon, PF,Orlando Magic,"$21,590,909 "
39,Danilo Gallinari, PF,LA Clippers,"$21,587,579 "
40,Victor Oladipo, SG,Indiana Pacers,"$21,000,000 "
41,Jimmy Butler, SF,Philadelphia 76ers,"$20,445,779 "
42,Ryan Anderson, PF,Phoenix Suns,"$20,421,546 "
43,Kyrie Irving, PG,Boston Celtics,"$20,099,189 "
44,Jabari Parker, PF,Washington Wizards,"$20,000,000 "
45,Zach LaVine, PG,Chicago Bulls,"$19,500,000 "
46,Tyler Johnson, SG,Phoenix Suns,"$19,356,932 "
47,Tim Hardaway Jr., SG,New York Knicks,"$19,200,127 "
48,John Wall, PG,Washington Wizards,"$19,169,800 "
49,George Hill, PG,Milwaukee Bucks,"$19,000,000 "
50,Jeff Teague, PG,Minnesota Timberwolves,"$19,000,000 "
51,Klay Thompson, SG,Golden State Warriors,"$18,988,725 "
52,Allen Crabbe, G,Brooklyn Nets,"$18,500,000 "
53,Goran Dragic, PG,Miami Heat,"$18,109,175 "
54,Kent Bazemore, SG,Atlanta Hawks,"$18,089,887 "
55,Evan Turner, SG,Portland Trail Blazers,"$17,868,853 "
56,Draymond Green, PF,Golden State Warriors,"$17,469,565 "
57,Tristan Thompson, C,Cleveland Cavaliers,"$17,469,565 "
58,Evan Fournier, SG,Orlando Magic,"$17,150,000 "
59,Reggie Jackson, PG,Detroit Pistons,"$17,043,478 "
60,Bismack Biyombo, C,Charlotte Hornets,"$17,000,000 "
61,Derrick Favors, C,Utah Jazz,"$16,900,000 "
62,Jonas Valanciunas, C,Memphis Grizzlies,"$16,539,326 "
63,Gary Harris, SG,Denver Nuggets,"$16,517,857 "
64,Timofey Mozgov, C,Orlando Magic,"$16,000,000 "
65,Andre Iguodala, SG,Golden State Warriors,"$16,000,000 "
66,Ian Mahinmi, C,Washington Wizards,"$15,944,154 "
67,Dennis Schroder, PG,Oklahoma City Thunder,"$15,500,000 "
68,DeMarre Carroll, SF,Brooklyn Nets,"$15,400,000 "
69,Gorgui Dieng, C,Minnesota Timberwolves,"$15,170,787 "
70,Trevor Ariza, SF,Washington Wizards,"$15,000,000 "
71,Eric Bledsoe, PG,Milwaukee Bucks,"$15,000,000 "
72,Ricky Rubio, PG,Utah Jazz,"$14,975,000 "
73,Tobias Harris, SF,Philadelphia 76ers,"$14,800,000 "
74,JR Smith, G,Cleveland Cavaliers,"$14,720,000 "
75,James Johnson, PF,Miami Heat,"$14,651,700 "
76,Luke Babbitt, F,Miami Heat,"$14,651,700 "
77,Brandon Knight, PG,Houston Rockets,"$14,631,250 "
78,Robin Lopez, C,Chicago Bulls,"$14,357,750 "
79,Marvin Williams, PF,Charlotte Hornets,"$14,087,500 "
80,Taj Gibson, C,Minnesota Timberwolves,"$14,000,000 "
81,Thaddeus Young, PF,Indiana Pacers,"$13,964,045 "
82,Clint Capela, C,Houston Rockets,"$13,793,104 "
83,Marcin Gortat, C,LA Clippers,"$13,565,218 "
84,Cody Zeller, C,Charlotte Hornets,"$13,528,090 "
85,Eric Gordon, SG,Houston Rockets,"$13,500,375 "
86,Joe Ingles, SG,Utah Jazz,"$13,045,455 "
87,Khris Middleton, SF,Milwaukee Bucks,"$13,000,000 "
88,Michael Kidd-Gilchrist, SF,Charlotte Hornets,"$13,000,000 "
89,Mason Plumlee, PF,Denver Nuggets,"$12,917,808 "
90,Wilson Chandler, SF,Philadelphia 76ers,"$12,800,562 "
91,Nikola Vucevic, C,Orlando Magic,"$12,750,000 "
92,Kelly Olynyk, PF,Miami Heat,"$12,537,527 "
93,Miles Plumlee, C,Atlanta Hawks,"$12,500,000 "
94,Jordan Clarkson, PG,Cleveland Cavaliers,"$12,500,000 "
95,Nikola Mirotic, F,Milwaukee Bucks,"$12,500,000 "
96,Tyreke Evans, G,Indiana Pacers,"$12,400,000 "
97,Courtney Lee, SG,New York Knicks,"$12,253,780 "
98,Solomon Hill, SF,New Orleans Pelicans,"$12,252,928 "
99,JJ Redick, SG,Philadelphia 76ers,"$12,250,000 "
100,Avery Bradley, PG,Memphis Grizzlies,"$12,000,000 "
101,Kentavious Caldwell-Pope, SG,Los Angeles Lakers,"$12,000,000 "
102,Kemba Walker, PG,Charlotte Hornets,"$12,000,000 "
103,Will Barton, SF,Denver Nuggets,"$11,830,358 "
104,T.J. Warren, SF,Phoenix Suns,"$11,750,000 "
105,Zach Randolph, F,Dallas Mavericks,"$11,692,308 "
106,Marcus Smart, PG,Boston Celtics,"$11,660,716 "
107,Patty Mills, PG,San Antonio Spurs,"$11,571,429 "
108,Dion Waiters, SG,Miami Heat,"$11,550,000 "
109,Alec Burks, SG,Utah Jazz,"$11,536,515 "
110,John Henson, PF,Milwaukee Bucks,"$11,327,466 "
111,Omer Asik, C,Chicago Bulls,"$11,286,516 "
112,Jusuf Nurkic, C,Portland Trail Blazers,"$11,111,111 "
113,Iman Shumpert, SG,Sacramento Kings,"$11,011,234 "
114,Maurice Harkless, SF,Portland Trail Blazers,"$10,837,079 "
115,Tony Snell, SF,Milwaukee Bucks,"$10,807,143 "
116,Meyers Leonard, C,Portland Trail Blazers,"$10,595,506 "
117,Bojan Bogdanovic, SF,Indiana Pacers,"$10,500,000 "
118,Terrence Ross, SG,Orlando Magic,"$10,500,000 "
119,Robert Covington, PF,Philadelphia 76ers,"$10,464,092 "
120,Rudy Gay, SF,San Antonio Spurs,"$10,087,200 "
121,Jon Leuer, F,Detroit Pistons,"$10,002,681 "
122,Andre Roberson, SG,Oklahoma City Thunder,"$10,000,000 "
123,Danny Green, SG,Toronto Raptors,"$10,000,000 "
124,Darren Collison, G,Indiana Pacers,"$10,000,000 "
125,Dwight Powell, C,Dallas Mavericks,"$9,631,250 "
126,Matthew Dellavedova, PG,Milwaukee Bucks,"$9,607,500 "
127,Dante Exum, PG,Utah Jazz,"$9,600,000 "
128,Jared Dudley, SF,Brooklyn Nets,"$9,530,000 "
129,Norman Powell, SG,Toronto Raptors,"$9,367,200 "
130,Josh Richardson, SG,Miami Heat,"$9,367,200 "
131,Bogdan Bogdanovic, SG,Sacramento Kings,"$9,000,000 "
132,Rajon Rondo, PG,Los Angeles Lakers,"$9,000,000 "
133,E'Twaun Moore, SG,New Orleans Pelicans,"$8,808,685 "
134,Cristiano Felicio, PF,Chicago Bulls,"$8,740,980 "
135,Kosta Koufos, C,Sacramento Kings,"$8,739,500 "
136,Fred VanVleet, SG,Toronto Raptors,"$8,653,847 "
137,Jerami Grant, PF,Oklahoma City Thunder,"$8,653,847 "
138,Kyle Anderson, SF,Memphis Grizzlies,"$8,641,000 "
139,Julius Randle, PF,New Orleans Pelicans,"$8,641,000 "
140,Jerryd Bayless, G,Minnesota Timberwolves,"$8,575,916 "
141,Markelle Fultz, PG,Philadelphia 76ers,"$8,339,880 "
142,C.J. Miles, SG,Memphis Grizzlies,"$8,333,333 "
143,Joe Harris, SF,Brooklyn Nets,"$8,333,333 "
144,Shaun Livingston, G,Golden State Warriors,"$8,307,692 "
145,Deandre Ayton, C,Phoenix Suns,"$8,165,160 "
146,Garrett Temple, SG,Memphis Grizzlies,"$8,000,000 "
147,Lou Williams, SG,LA Clippers,"$8,000,000 "
148,P.J. Tucker, PF,Houston Rockets,"$7,969,537 "
149,Cory Joseph, PG,Indiana Pacers,"$7,945,000 "
150,Karl-Anthony Towns, C,Minnesota Timberwolves,"$7,839,435 "
151,JaMychal Green, PF,Memphis Grizzlies,"$7,666,667 "
152,Kyle Korver, SG,Utah Jazz,"$7,560,000 "
153,Jeremy Lamb, SG,Charlotte Hornets,"$7,488,372 "
154,Darrell Arthur, F,Phoenix Suns,"$7,464,912 "
155,Lonzo Ball, PG,Los Angeles Lakers,"$7,461,960 "
156,Doug McDermott, SF,Indiana Pacers,"$7,333,333 "
157,Jae Crowder, SF,Utah Jazz,"$7,305,825 "
158,Marvin Bagley III, PF,Sacramento Kings,"$7,305,600 "
159,D.J. Augustin, PG,Orlando Magic,"$7,250,000 "
160,Dewayne Dedmon, C,Atlanta Hawks,"$7,200,000 "
161,Lance Thomas, F,New York Knicks,"$7,119,650 "
162,D'Angelo Russell, SG,Brooklyn Nets,"$7,019,698 "
163,Davis Bertans, SF,San Antonio Spurs,"$7,000,000 "
164,Ersan Ilyasova, PF,Milwaukee Bucks,"$7,000,000 "
165,Langston Galloway, SG,Detroit Pistons,"$7,000,000 "
166,Boban Marjanovic, C,Philadelphia 76ers,"$7,000,000 "
167,Al-Farouq Aminu, PF,Portland Trail Blazers,"$6,957,105 "
168,Jayson Tatum, PF,Boston Celtics,"$6,700,800 "
169,Luka Doncic, SG,Dallas Mavericks,"$6,560,640 "
170,Nemanja Bjelica, PF,Sacramento Kings,"$6,500,000 "
171,Mario Hezonja, SF,New York Knicks,"$6,500,000 "
172,Ben Simmons, PG,Philadelphia 76ers,"$6,434,520 "
173,Milos Teodosic, G,LA Clippers,"$6,300,000 "
174,Marco Belinelli, SG,San Antonio Spurs,"$6,153,846 "
175,Wesley Johnson, F,Washington Wizards,"$6,134,520 "
176,Josh Jackson, SG,Phoenix Suns,"$6,041,520 "
177,Jonathon Simmons, G,Philadelphia 76ers,"$6,000,000 "
178,Ish Smith, PG,Detroit Pistons,"$6,000,000 "
179,Montrezl Harrell, PF,LA Clippers,"$6,000,000 "
180,Jaren Jackson Jr., PF,Memphis Grizzlies,"$5,915,040 "
181,Brandon Ingram, SF,Los Angeles Lakers,"$5,757,120 "
182,Kristaps Porzingis, PF,Dallas Mavericks,"$5,697,054 "
183,De'Aaron Fox, PG,Sacramento Kings,"$5,470,920 "
184,Ben McLemore, SF,Sacramento Kings,"$5,460,000 "
185,Alex Abrines, G,Oklahoma City Thunder,"$5,455,236 "
186,Patrick Patterson, PF,Oklahoma City Thunder,"$5,451,600 "
187,Jason Smith, F,Washington Wizards,"$5,450,000 "
188,Marcus Morris Sr., SF,Boston Celtics,"$5,375,000 "
189,Trae Young, PG,Atlanta Hawks,"$5,356,440 "
190,DeMarcus Cousins, C,Golden State Warriors,"$5,337,000 "
191,Dwight Howard, C,Washington Wizards,"$5,337,000 "
192,Alexis Ajinca, C,LA Clippers,"$5,285,394 "
193,Thabo Sefolosha, SF,Utah Jazz,"$5,250,000 "
194,Aron Baynes, C,Boston Celtics,"$5,193,600 "
195,Jaylen Brown, SG,Boston Celtics,"$5,169,960 "
196,Patrick Beverley, PG,LA Clippers,"$5,027,028 "
197,Tony Parker, G,Charlotte Hornets,"$5,000,000 "
198,Mike Muscala, PF,Philadelphia 76ers,"$5,000,000 "
199,Alan Williams, C,Brooklyn Nets,"$5,000,000 "
200,Dirk Nowitzki, F,Dallas Mavericks,"$5,000,000 "
201,Kyle Singler, F,Oklahoma City Thunder,"$4,996,000 "
202,Jonathan Isaac, PF,Orlando Magic,"$4,969,080 "
203,Mo Bamba, C,Orlando Magic,"$4,865,040 "
204,Anthony Tolliver, PF,Minnesota Timberwolves,"$4,750,000 "
205,Willie Cauley-Stein, C,Sacramento Kings,"$4,696,875 "
206,Dragan Bender, F,Phoenix Suns,"$4,661,280 "
207,Lauri Markkanen, PF,Chicago Bulls,"$4,536,120 "
208,Ed Davis, C,Brooklyn Nets,"$4,449,000 "
209,Kyle O'Quinn, C,Indiana Pacers,"$4,449,000 "
210,Lance Stephenson, G,Los Angeles Lakers,"$4,449,000 "
211,Wendell Carter Jr., C,Chicago Bulls,"$4,441,200 "
212,Justin Holiday, SF,Memphis Grizzlies,"$4,384,616 "
213,Alex Len, C,Atlanta Hawks,"$4,350,000 "
214,Mike Scott, PF,Philadelphia 76ers,"$4,320,500 "
215,Luc Mbah a Moute, F,LA Clippers,"$4,320,500 "
216,Emmanuel Mudiay, PG,New York Knicks,"$4,294,480 "
217,Kris Dunn, SF,Chicago Bulls,"$4,221,000 "
218,Frank Ntilikina, PG,New York Knicks,"$4,155,720 "
219,Glenn Robinson III, SF,Detroit Pistons,"$4,075,000 "
220,Collin Sexton, PG,Cleveland Cavaliers,"$4,068,600 "
221,Stanley Johnson, SF,Detroit Pistons,"$3,940,402 "
222,Buddy Hield, SG,Sacramento Kings,"$3,844,760 "
223,Dennis Smith Jr., PG,New York Knicks,"$3,819,960 "
224,Kevin Knox II, SF,New York Knicks,"$3,739,920 "
225,J.J. Barea, PG,Dallas Mavericks,"$3,710,850 "
226,Nene Hilario, C,Houston Rockets,"$3,651,480 "
227,Zach Collins, PF,Portland Trail Blazers,"$3,628,920 "
228,Frank Kaminsky, C,Charlotte Hornets,"$3,627,842 "
229,Mikal Bridges, SF,Phoenix Suns,"$3,552,960 "
230,Michael Beasley, F,Los Angeles Lakers,"$3,500,000 "
231,Jamal Murray, PG,Denver Nuggets,"$3,499,800 "
232,Rodney Hood, SF,Portland Trail Blazers,"$3,472,887 "
233,Jodie Meeks, G,Toronto Raptors,"$3,454,500 "
234,Justise Winslow, SF,Miami Heat,"$3,448,926 "
235,Malik Monk, SG,Charlotte Hornets,"$3,447,480 "
236,Myles Turner, C,Indiana Pacers,"$3,410,284 "
237,Allonzo Trier, SG,New York Knicks,"$3,382,000 "
238,Brook Lopez, C,Milwaukee Bucks,"$3,382,000 "
239,Shai Gilgeous-Alexander, SG,LA Clippers,"$3,375,360 "
240,Trey Lyles, C,Denver Nuggets,"$3,364,249 "
241,Ekpe Udoh, F,Utah Jazz,"$3,360,000 "
242,Devin Booker, SG,Phoenix Suns,"$3,314,365 "
243,Luke Kennard, SG,Detroit Pistons,"$3,275,280 "
244,Cameron Payne, G,Cleveland Cavaliers,"$3,263,294 "
245,Troy Daniels, SG,Phoenix Suns,"$3,258,539 "
246,Kelly Oubre Jr., SF,Washington Wizards,"$3,208,630 "
247,Miles Bridges, SF,Charlotte Hornets,"$3,206,640 "
248,Marquese Chriss, C,Houston Rockets,"$3,206,160 "
249,Tomas Satoransky, SG,Washington Wizards,"$3,129,187 "
250,Bryn Forbes, SG,San Antonio Spurs,"$3,125,000 "
